"id_obs","created_at","text","type","error","TOXICITY","SEVERE_TOXICITY","INSULT_EXPERIMENTAL","THREAT_EXPERIMENTAL","date"
1398330,"2022-03-15T13:02:51.000Z","@carmen_hertz @izkia @Carabdechile @MarcosBarrazaG @convencioncl En resumen....jueron loh pacooooh, ya cortenla, van a espantar a todos los que a pesar de todo tienen vocación para ser carabineros, y ahí si que vamos a estar mal.","replied_to","No Error",0.2854903,0.023076924,0.26957804,0.18913531,2022-03-15
340784,"2022-05-20T20:09:20.000Z","@BenitoBaranda Este viejo pensara que todo el.mundo es wn","replied_to","No Error",0.3974717,0.017739398,0.4339631,0.0063367756,2022-05-20
1449405,"2022-07-25T12:19:24.000Z","@mcubillossigall @gabrielboric Se imaginan una Latinoamérica unida?  Estos saqueadores de recursos naturales estarían perdidos! #ApruebaSeraHermoso #AprueboXAmor #AprueboConEsperanza","replied_to","No Error",0.23198941,0.01083374,0.24424846,0.00756015,2022-07-25
515169,"2022-10-02T22:20:50.000Z","@Rechazona1 @UWeones @tere_marinovic Allá tu y tu conciencia","replied_to","No Error",0.2412222,0.0063705444,0.16853803,0.006084333,2022-10-02
754284,"2022-04-13T17:33:45.000Z","@maluchayallego @ElisaLoncon Colonialismo mapuche","replied_to","No Error",0.21642438,0.009765625,0.16831873,0.0064985976,2022-04-13
1267723,"2022-08-28T15:52:54.000Z","@IgnacioAchurra Es fácil hacer vista gorda, esa es su esencia.... que mal....","replied_to","No Error",0.2854699,0.010223389,0.30797598,0.0061878995,2022-08-28
867191,"2021-12-22T22:10:10.000Z","@mcubillossigall Tarde Marcela. Muy tarde, un Gobierno Comunista no va dejar campo de acción a la Oposición, así que nada. Pésimo por su Candidato Sichel, que solo fue un estorbo en la lucha contra el Comunismo. Ahora es sin llorar.","replied_to","No Error",0.26859093,0.0051116943,0.33154017,0.006246155,2021-12-22
1426633,"2022-06-30T15:59:10.000Z","@tere_marinovic Si hay foto reclaman, si no hay foto reclaman y ponen en duda, sin tan ambiguos como ellos mismos, no tienen pudor, menos moral. Publica los resultados del test de drogas Emili@ y luego tendrás cara para patalear por una foto, de un acto honesto por lo demás!!","replied_to","No Error",0.2854937,0.012130737,0.3388922,0.009281937,2022-06-30
727158,"2022-01-18T04:25:20.000Z","@IlGonzall @Ktymontealegre no mezcle webadas","replied_to","No Error",0.38601747,0.012435913,0.34203702,0.006304411,2022-01-18
339372,"2022-07-26T18:57:15.000Z","@arturozunigaj Después el mismo alcalde pide mas refuerzos o dotacion policial. Como siempre muy care de raja el señor alcalde","replied_to","No Error",0.37751234,0.016900165,0.40243408,0.00666042,2022-07-26
