"id_obs","created_at","text","type","error","TOXICITY","SEVERE_TOXICITY","INSULT_EXPERIMENTAL","THREAT_EXPERIMENTAL","date"
266248,"2022-01-03T02:23:51.000Z","@fernando_atria Nefastos zanganos","replied_to","No Error",0.509388,0.023076924,0.61794597,0.008168601,2022-01-03
1341139,"2022-04-14T03:26:51.000Z","@MarcosBarrazaG Los senadores no representaban idiota? Explícale al país cuál será la diferencia sustancial. Para que no te vayas por las ramas","replied_to","No Error",0.4977744,0.023458159,0.5739874,0.00951496,2022-04-14
687352,"2021-11-04T17:00:23.000Z","@sofidelrio10 @ruggero_cozzi @LMayolB @ruth_uas @Pauta_cl Picantes delincuentes","replied_to","No Error",0.4645176,0.023176458,0.5678696,0.010369381,2021-11-04
1140049,"2021-03-20T01:22:10.000Z","@mcubillossigall Izka tiene vocación de servicio, usted  da vergüenza.","quoted","No Error",0.44393396,0.013349563,0.5543018,0.0061749537,2021-03-20
1168441,"2022-03-21T00:08:11.000Z","@tere_marinovic @fernand74419438 ¿ tu sabes donde queda la ctm? Parece que vives ahí 🤣🤣🤣🤣🤣🤣","replied_to","No Error",0.42349213,0.020386212,0.37846634,0.0067834044,2022-03-21
1117642,"2022-02-09T15:42:49.000Z","@CBurana_c @PollyanaConsti1 @Alexis_Lopez_T por que hablas de soberanía? ignorante, alegas algo que desconoces, infórmate primero, después opina, sé un aporte a la discusión, saludos.","replied_to","No Error",0.45921504,0.020386212,0.5678696,0.007689608,2022-02-09
969546,"2021-01-21T14:24:11.000Z","@Soledad54185592 @mcubillossigall @jorgefrancovish Sinceramente espero que algún día un niño pueda decirle “mamá”, ese día se dará cuenta de la sarta de estupideces que ha dicho !!!!","replied_to","No Error",0.4398409,0.021935565,0.5130944,0.015947454,2021-01-21
446628,"2021-01-26T11:36:21.000Z","@Jaime_Bassa Saquen a la Coté luego y ojo con lo que firme antes de irse. Hiceron mierda Viña con sus cagás de proyectos inmobiliarios.","replied_to","No Error",0.4645176,0.02411546,0.46173862,0.007974415,2021-01-26
1887710,"2022-08-09T02:05:13.000Z","@tere_marinovic La Sra. Urrejola NO tiene idea. Además se le nota mucho lo mediocre.","replied_to","No Error",0.46982017,0.015157142,0.5739874,0.0063885585,2022-08-09
241596,"2022-08-15T21:40:34.000Z","@BenitoBaranda Jaja que pena q la gran mayoria no pesamos como tu realmente lo hicieron es para llevar a Chile al abismo y destruirlo  y dividir a los Chilenos RECHAZO tu contitucion hecha por idealists y TRAIDORES","replied_to","No Error",0.44393396,0.02449106,0.5130944,0.011767523,2022-08-15
246081,"2021-08-24T15:40:02.000Z","@mcubillossigall @Ktymontealegre @ruth_uas @arturozunigaj @tere_marinovic Apoyaste a un dictadura donde torturaban, mataban, desaparecian, fusilaban a quienes pensaban distinto. Deja de ser tan hipocrita.","replied_to","No Error",0.47119883,0.04666401,0.5678696,0.0475118,2021-08-24
461557,"2022-05-03T13:06:13.000Z","@ElsaLabrana Daja de CAGARLA!","replied_to","No Error",0.51980776,0.02604016,0.48627716,0.0097738765,2022-05-03
157404,"2022-05-12T19:38:07.000Z","@CarolCBown @cuguzman @Mister_Wolf_0 Mil veces maldita esta miserable. Esta en la convención con el único objetivo de parar cualquier atisbo de mejora para las personas.","replied_to","No Error",0.54325575,0.055630904,0.6308392,0.010550622,2022-05-12
120114,"2022-12-23T03:28:22.000Z","@BSepulvedaHales @IraciHassler Defina panfleto y luego defina incapacidad mental. Su ilustre tiene un problema mental y ese problema mental no es compatibles con la realidad. La acusan por incompetente y se la saca tirando la pelota hacia la más fácil sin reconocer que Santiago centro cada día más podrido...","replied_to","No Error",0.4269174,0.02430326,0.5130944,0.010654188,2022-12-23
688473,"2022-05-12T15:57:45.000Z","@sebahuerta_ @ElisaLoncon No se picó, solo es una ignorante y no sabe","replied_to","No Error",0.52139956,0.01502803,0.6500014,0.0062396824,2022-05-12
303611,"2022-11-05T20:44:20.000Z","@tere_marinovic @ElisaLoncon Más porfia que indio curao!!!","replied_to","No Error",0.47886392,0.20984669,0.5130944,0.011586283,2022-11-05
676897,"2021-03-01T00:49:17.000Z","@psperello @baradit Te volaron la raja y quedaste pica’o Marianito","replied_to","No Error",0.51869136,0.16960317,0.5497792,0.056563694,2021-03-01
