"id_obs","coder_1","coder_2","consensus","sec_create_1","sec_create_2","sec_review_1","sec_review_2","created_at","text","type","error","TOXICITY","SEVERE_TOXICITY","INSULT_EXPERIMENTAL","THREAT_EXPERIMENTAL","date","tox_60","tox_70","tox_80","tox_90","insult_60","insult_70","insult_80","insult_90"
4221,0,0,1,9,5,5,0,"2021-09-01T20:35:50.000Z","@guillelarrain @bcentralchile @Jaime_Bassa @fernando_atria @berfontaine @PatoFdez @amaya_alvez @christianpviera @fchahin @HernanLarrain Que falta?","replied_to","No Error",0.01005285,0.00064373016,0.009336887,0.0055438476,"2021-09-01",0,0,0,0,0,0,0,0
6373,0,0,1,11,5,4,0,"2022-06-01T13:54:11.000Z","@AlGrano921 @rmorenoconcha @AgriculturaFM @gonzalomuller @Josefcolagos @amorenoe Absolutamente de acuerdo con @rmorenoconcha , la culpa de lo que pasa es de nosotros.","replied_to","No Error",0.038991302,0.0015449524,0.024768941,0.005621522,"2022-06-01",0,0,0,0,0,0,0,0
13303,0,0,1,8,4,5,0,"2021-01-07T01:35:33.000Z","@cherrerafe @bdelamaza Después Trump bloqueará a Twitter...Asi son las vueltas de la vida","replied_to","No Error",0.024849601,0.0007247925,0.018645585,0.00598724,"2021-01-07",0,0,0,0,0,0,0,0
18873,0,0,1,7,3,3,0,"2021-07-04T15:58:37.000Z","@berfontaine @melnicksergio Q terrible.","replied_to","No Error",0.04240986,0.0019931793,0.027605021,0.005574594,"2021-07-04",0,0,0,0,0,0,0,0
21074,0,0,1,11,3,4,0,"2022-03-03T12:39:46.000Z","@BRebolledoD17 Más gasto de dinero inutilmente","replied_to","No Error",0.09525062,0.0010061264,0.05964688,0.0054613184,"2022-03-03",0,0,0,0,0,0,0,0
23804,0,0,1,6,3,4,0,"2022-05-03T22:33:11.000Z","@AmpueroAdriana Financian los maridos","replied_to","No Error",0.023317585,0.00084877014,0.016784932,0.005508247,"2022-05-03",0,0,0,0,0,0,0,0
33851,0,0,1,14,0,0,0,"2022-04-02T18:09:58.000Z","@rodrigo_logan @jangropper @danielolguinp @BSepulvedaHales Pensar q habemos Chilenos q debemos viajar semana tras semana medio País para poder llegar al turno !!! Y otros q tienen el laburo a 15 minutos se aprovechan de un artículo para no ir presencial. 👉👈","replied_to","No Error",0.06421452,0.0023078918,0.03710241,0.0055940123,"2022-04-02",0,0,0,0,0,0,0,0
39264,0,0,1,6,14,2,0,"2021-01-18T04:02:16.000Z","@labeasanchez @TVN Y con quien ustedes escribirian un nuevo Chile. Se pelean, se descueran y a ti ya no te toman en cuenta. Esta dando jugo señora.","replied_to","No Error",0.14082454,0.0037002563,0.08831572,0.0068416605,"2021-01-18",0,0,0,0,0,0,0,0
61176,0,0,1,7,4,0,0,"2021-10-07T22:52:27.000Z","@criordor @ElisaLoncon @Jaime_Bassa Felicitaciones a la toda la CC. 🤘","replied_to","No Error",0.0061573703,0.0004029274,0.007132874,0.005534138,"2021-10-07",0,0,0,0,0,0,0,0
69320,0,0,1,10,3,0,0,"2021-02-02T14:26:55.000Z","@marcelillavn @arturozunigaj El de Cerrillos 🤑🤑🤑🤑🤑🤑🤑🤑🤑🤑🤑🤑🤑🤑🤑🤑🤑🤑🤑","replied_to","No Error",0.01834645,0.00072956085,0.012794908,0.0055940123,"2021-02-02",0,0,0,0,0,0,0,0
75479,0,0,1,14,3,11,0,"2022-02-11T03:34:48.000Z","@AlmendraEAZ @Cleio_ @Dmunozc81 @Jaime_Bassa @conihube 🤦🏻‍♀️🤦🏻‍♀️🤦🏻‍♀️","replied_to","No Error",0.01218908,0.00058174133,0.009393888,0.005538993,"2022-02-11",0,0,0,0,0,0,0,0
77346,0,0,1,16,4,10,0,"2022-08-05T03:12:41.000Z","@ApruebaxChile @gdominguez_ @HeliaMolina_M @BSepulvedaHales @vladomirosevic Me voy por #DebateChileChv","quoted","No Error",0.010492661,0.0007724762,0.0088618845,0.005854546,"2022-08-05",0,0,0,0,0,0,0,0
78678,0,0,1,6,19,0,0,"2022-10-14T14:30:01.000Z","@BSepulvedaHales @fchahin Con que facilidad se miente en estos programas de ultra extrema derecha","replied_to","No Error",0.16591948,0.0022125244,0.15769513,0.0056765415,"2022-10-14",0,0,0,0,0,0,0,0
79266,0,0,1,8,5,5,0,"2021-08-10T16:18:01.000Z","@criordor @Maisa_Rojas @LaRedTV @mentiraslared Best crossover in human history","replied_to","No Error",0.01859777,0.002155304,0.012566907,0.006317357,"2021-08-10",0,0,0,0,0,0,0,0
87161,0,0,1,4,2,2,0,"2021-04-29T13:54:06.000Z","@BSepulvedaHales YQ-34  segurísimo","replied_to","No Error",0.0037226956,0.00030755997,0.0059548668,0.0055422294,"2021-04-29",0,0,0,0,0,0,0,0
87569,0,0,1,11,12,3,0,"2022-08-05T18:00:04.000Z","Los tienen eligiendo entre la argumentación teórica de @BSepulvedaHales de pq se disminuyen las listas de espera por resonancia magnética el lunes. El fin de semana me lanzo.","replied_to","No Error",0.012503231,0.00041246414,0.011084898,0.0055988673,"2022-08-05",0,0,0,0,0,0,0,0
